,per_loss
0,0.6122501
1,0.7102101
2,0.60705864
3,0.8251149
4,0.7768581
5,0.6698589
6,0.6181329
7,0.6871848
8,0.60182136
9,0.7202413
10,0.6827732
11,0.65874606
12,0.60079926
13,0.68885726
14,0.553892
15,0.66528004
16,0.5575676
17,0.5274771
18,0.63531184
19,0.5473642
20,0.52120435
21,0.47367236
22,0.5261661
23,0.52838844
24,0.5965645
25,0.58454823
26,0.64090353
27,0.57997304
28,0.44378322
29,0.41742867
30,0.60466564
31,0.4979207
32,0.62767255
33,0.53669393
34,0.5611146
35,0.65787315
36,0.67850614
37,0.5668113
38,0.66054714
39,0.69454813
40,0.537018
41,0.6297129
42,0.6573692
43,0.6211402
44,0.5542838
45,0.76257986
46,0.5939317
47,0.57471377
48,0.6557694
49,0.52232075
50,0.5733767
51,0.5577562
52,0.65192837
53,0.6444672
54,0.71049124
55,0.56649053
56,0.64816993
57,0.6545217
58,0.6648551
59,0.76383346
60,0.6581155
61,0.63813096
62,0.63027394
63,0.6161298
64,0.62417495
65,0.59076566
66,0.7894163
67,0.64326304
68,0.7412016
69,0.70721716
70,0.75040495
71,0.667949
72,0.6219612
73,0.5798051
74,0.585629
75,0.6272581
76,0.71830916
77,0.6144507
78,0.6257321
79,0.67127836
80,0.49733198
81,0.55254
82,0.6843876
83,0.54921955
84,0.59293926
85,0.66623497
86,0.68702763
87,0.6189296
88,0.64126664
89,0.5256028
90,0.64511436
91,0.76527816
92,0.6968411
93,0.63728905
94,0.66026425
95,0.6127938
96,0.62514305
97,0.6519605
98,0.6540859
99,0.5181851
