,per_loss
0,0.5692499
1,0.5265799
2,0.5116757
3,0.6620548
4,0.73166317
5,0.61257875
6,0.65664405
7,0.49493238
8,0.5822464
9,0.63353914
10,0.5636615
11,0.8390992
12,0.5964088
13,0.5857451
14,0.65962017
15,0.56731284
16,0.68323195
17,0.64017814
18,0.59399897
19,0.55416787
20,0.665983
21,0.6912933
22,0.6467452
23,0.5522452
24,0.6625755
25,0.58186615
26,0.67074394
27,0.6796496
28,0.61477613
29,0.6826508
30,0.57008016
31,0.61752284
32,0.5820304
33,0.69101346
34,0.6580118
35,0.78377116
36,0.6746336
37,0.6506644
38,0.88719845
39,0.65607
40,0.6321883
41,0.69506824
42,0.61743987
43,0.62104297
44,0.6459717
45,0.67198753
46,0.73880994
47,0.5422841
48,0.609815
49,0.6373278
50,0.5965367
51,0.7870425
52,0.54822403
53,0.59339774
54,0.79614925
55,0.7541402
56,0.5291748
57,0.49722123
58,0.5781592
59,0.72524714
60,0.6840754
61,0.7260761
62,0.6457069
63,0.6506617
64,0.7421648
65,0.6369922
66,0.6311787
67,0.63689464
68,0.58106756
69,0.6224855
70,0.6036694
71,0.5642517
72,0.59996474
73,0.71775794
74,0.6366596
75,0.6011796
76,0.598975
77,0.58626693
78,0.6565288
79,0.55764896
80,0.64743686
81,0.7386202
82,0.5658109
83,0.5741464
84,0.66060394
85,0.6299099
86,0.61535
87,0.64030105
88,0.70095634
89,0.61156285
90,0.5716
91,0.5993371
92,0.6073544
93,0.7042719
94,0.5662551
95,0.73568076
96,0.5717473
97,0.7148428
98,0.50846285
99,0.5162404
100,0.5449737
101,0.66286635
102,0.6380205
103,0.5080214
104,0.6277477
105,0.8803076
106,0.6577311
107,0.5537211
108,0.7026148
109,0.6697531
110,0.5819767
111,0.5688667
112,0.6550764
113,0.67624074
114,0.5234573
115,0.6019567
116,0.67705077
117,0.68945956
118,0.57580525
119,0.615954
120,0.59453595
121,0.7019099
122,0.7883036
123,0.6729224
124,0.8765346
125,0.66102546
126,0.6774189
127,0.6573435
128,0.6043205
129,0.77052665
130,0.62949806
131,0.7040576
132,0.55826247
133,0.685718
134,0.75060534
135,0.65134484
136,0.6238336
137,0.66335034
138,0.5897137
139,0.59389764
140,0.72821695
141,0.6421376
142,0.60601276
143,0.67112756
144,0.6411523
145,0.5634248
146,0.6100245
147,0.58701664
148,0.59343266
149,0.66757506
150,0.5728332
151,0.6372808
152,0.7340621
153,0.5427802
154,0.5738841
155,0.5642066
156,0.63210094
157,0.6995036
158,0.70417255
159,0.6331205
160,0.6326722
161,0.58901757
162,0.59650576
163,0.56596315
164,0.5952804
165,0.66316843
166,0.711718
167,0.5824949
168,0.65569174
169,0.70899504
170,0.65302336
171,0.6437509
172,0.64252126
173,0.6704381
174,0.6358539
175,0.5702201
176,0.66646266
177,0.70392835
178,0.65688413
179,0.56081057
180,0.7002489
181,0.6297684
182,0.6799723
183,0.60180485
184,0.61822784
185,0.6424631
186,0.5924636
187,0.66180587
188,0.5071107
189,0.7398567
190,0.53659177
191,0.60684186
192,0.5962714
193,0.63697374
194,0.5915657
