,per_loss
0,0.5219914
1,0.8144146
2,0.7033616
3,0.6773031
4,0.66909325
5,0.61108017
6,0.84103346
7,0.71898115
8,0.49372256
9,0.6971757
10,0.52521807
11,0.6374442
12,0.770035
13,0.6908553
14,0.77392745
15,0.7388377
16,0.7277739
17,0.8038366
18,0.8128951
19,0.645085
20,0.7359882
21,0.75456625
22,0.62861204
23,0.6940531
24,0.71293306
25,0.79176205
26,0.6566795
27,0.71604764
28,0.6578199
29,0.6752004
30,0.7918453
31,0.7780174
32,0.72096545
33,0.78488785
34,0.7902544
35,0.7592313
36,0.7492212
37,0.7537327
38,0.6791826
39,0.7737993
40,0.7041539
41,0.71763605
42,0.6849232
43,0.7711805
44,0.77253795
45,0.68702424
46,0.82033706
47,0.7955532
48,0.8246125
49,0.8528736
50,0.7453234
51,0.7704487
52,0.71350545
53,0.80714667
54,0.6655191
55,0.95907164
56,0.72027934
57,0.7016623
58,0.74510276
59,0.70436746
60,0.6894567
61,0.74231404
62,0.7181708
63,0.70433277
64,0.7105018
65,0.78244853
66,0.70071137
67,0.77217853
68,0.7887557
69,0.72353506
70,0.6732096
71,0.7832047
72,0.7335325
73,0.7644797
74,0.6340331
75,0.642534
76,0.6410774
77,0.7194509
78,0.8235423
79,0.6584235
80,0.7312543
