,per_loss
0,0.6738248
1,0.8043503
2,0.63534904
3,0.55634624
4,0.655164
5,0.6356409
6,0.7421709
7,0.8327362
8,0.65730554
9,0.57797736
10,0.6006941
11,0.583464
12,0.71237665
13,0.7326653
14,0.54392844
15,0.688955
16,0.6458508
17,0.673775
18,0.6852089
19,0.65246177
20,0.6863751
21,0.68621624
22,0.63450646
23,0.59562504
24,0.5714579
25,0.69850945
26,0.5612579
27,0.61595094
28,0.48821467
29,0.6414751
30,0.6845513
31,0.6593281
32,0.6069641
33,0.56571615
34,0.6809362
35,0.6025206
36,0.573375
37,0.60426956
38,0.7099153
39,0.7068542
40,0.607082
41,0.69884807
42,0.63816154
43,0.6555835
44,0.5629883
45,0.7485294
46,0.5913411
47,0.53395134
48,0.674341
49,0.6582495
50,0.58813477
51,0.58721614
52,0.77263427
53,0.66184145
54,0.6258738
55,0.7490094
56,0.6463423
57,0.6597135
58,0.6243715
59,0.5672928
60,0.6076122
61,0.6497828
62,0.6499709
63,0.51117134
64,0.60155046
65,0.656191
66,0.6106962
67,0.58418036
68,0.541867
69,0.6653242
70,0.62870497
71,0.74599063
72,0.6246598
73,0.66365516
74,0.5796534
75,0.5115971
76,0.6564556
77,0.62543213
78,0.6364646
79,0.75069207
80,0.6103042
81,0.683705
82,0.6378723
83,0.62914187
84,0.5913334
85,0.6643322
86,0.60652524
87,0.6121284
88,0.7594323
89,0.685292
90,0.5860603
91,0.5866114
92,0.7283155
93,0.68602383
94,0.5636481
95,0.7335288
96,0.67739284
97,0.6693408
98,0.7263241
99,0.6509508
100,0.6530602
101,0.7205558
102,0.7202644
103,0.5756464
104,0.63445634
105,0.68122613
106,0.68248165
107,0.5274077
108,0.67395645
109,0.64064425
110,0.5961752
111,0.5863565
112,0.6870204
113,0.5818052
114,0.7078086
115,0.71070313
116,0.63935524
117,0.6745799
118,0.65075964
119,0.6026946
120,0.64651847
121,0.63742846
122,0.6540774
123,0.5814858
124,0.6327341
125,0.5974604
126,0.61020494
127,0.60852814
128,0.6131619
129,0.6305299
130,0.5420583
131,0.69910556
132,0.59861225
133,0.55814046
134,0.58336025
135,0.63924956
136,0.5178921
137,0.51170295
138,0.64885855
139,0.66391134
140,0.52896345
141,0.5445239
142,0.6144832
143,0.73493195
144,0.628239
145,0.67693275
146,0.639209
147,0.64645076
148,0.6622246
149,0.57009196
150,0.52945334
151,0.6999395
152,0.57072735
153,0.5748476
154,0.6075913
155,0.55359095
156,0.5750582
157,0.58043593
158,0.54019284
159,0.68103075
160,0.6024467
161,0.64203405
162,0.5914114
163,0.6117895
164,0.5649533
165,0.6127486
166,0.6550184
167,0.6117201
168,0.68135023
169,0.59621567
170,0.55627525
171,0.6621894
172,0.724318
173,0.5553671
174,0.6279127
175,0.5641226
176,0.62303835
177,0.6187599
178,0.7056121
179,0.65882707
180,0.6746847
181,0.63634264
182,0.71492845
183,0.58362275
184,0.61326796
185,0.626545
186,0.66805345
187,0.656487
188,0.6375596
189,0.72975427
190,0.6417349
191,0.6546962
192,0.6166758
193,0.65547854
194,0.58391666
195,0.6038594
196,0.666623
197,0.60059243
198,0.7317001
199,0.5995438
