,sem_loss
0,0.000754
1,0.000698
2,0.000622
3,0.001032
4,0.001158
5,0.0007234
6,0.0007195
7,0.0007367
8,0.0006156
9,0.000715
10,0.000976
11,0.000495
12,0.0006495
13,0.0006804
14,0.0006695
15,0.0007763
16,0.000715
17,0.000791
18,0.000587
19,0.0006804
20,0.001218
21,0.0005493
22,0.0007524
23,0.0007944
24,0.0004673
25,0.000718
26,0.001008
27,0.0005546
28,0.0004396
29,0.000584
30,0.0007367
31,0.0006022
32,0.000945
33,0.000574
34,0.000598
35,0.000648
36,0.0008845
37,0.0006986
38,0.0008345
39,0.000474
40,0.0006065
41,0.000573
42,0.00103
43,0.0008063
44,0.00054
45,0.0008707
46,0.0005965
47,0.0008793
48,0.000785
49,0.0006204
50,0.001144
51,0.0004935
52,0.00076
53,0.0006576
54,0.0008206
55,0.0006127
56,0.000699
57,0.0006123
58,0.0008616
59,0.0007396
60,0.000695
61,0.000431
62,0.000804
63,0.001138
64,0.000711
65,0.000947
66,0.000995
67,0.001246
68,0.000703
69,0.001196
70,0.001392
71,0.000693
72,0.000446
73,0.0004835
74,0.0007014
75,0.0005145
76,0.001064
77,0.000537
78,0.0007367
79,0.000949
80,0.0007277
81,0.000555
82,0.0005918
83,0.0005636
84,0.0007815
85,0.0008035
86,0.000683
87,0.0006094
88,0.0007286
89,0.0008025
90,0.0007377
91,0.0008707
92,0.001225
93,0.0007515
94,0.0007463
95,0.0008945
96,0.0005836
97,0.0005608
98,0.0009174
99,0.000621
