,sem_loss
0,0.000685
1,0.0009
2,0.0007253
3,0.0007095
4,0.000837
5,0.001134
6,0.000869
7,0.000551
8,0.0007014
9,0.000915
10,0.000676
11,0.000563
12,0.000834
13,0.0007157
14,0.000559
15,0.000977
16,0.0008106
17,0.000744
18,0.0008426
19,0.001096
20,0.0009284
21,0.000849
22,0.000799
23,0.000542
24,0.0007186
25,0.0006356
26,0.0008864
27,0.0008264
28,0.0005255
29,0.00064
30,0.000773
31,0.0008993
32,0.0006704
33,0.000764
34,0.0007787
35,0.000829
36,0.0008965
37,0.0006814
38,0.00091
39,0.001012
40,0.001004
41,0.0006843
42,0.000687
43,0.0009727
44,0.000891
45,0.00079
46,0.00074
47,0.0005813
48,0.0008907
49,0.000815
50,0.00086
51,0.0006404
52,0.000873
53,0.0005817
54,0.001033
55,0.001063
56,0.0009556
57,0.000825
58,0.000827
59,0.0009775
60,0.000717
61,0.0009465
62,0.001262
63,0.0006046
64,0.0008864
65,0.000815
66,0.000929
67,0.0007167
68,0.0006886
69,0.000892
70,0.0005302
71,0.000932
72,0.000625
73,0.000701
74,0.000912
75,0.000628
76,0.001371
77,0.0006337
78,0.0007887
79,0.0008364
80,0.000986
81,0.001097
82,0.0004811
83,0.000825
84,0.0007296
85,0.000539
86,0.000825
87,0.000771
88,0.00122
89,0.0007825
90,0.000735
91,0.000602
92,0.0007505
93,0.000858
94,0.00074
95,0.0009413
96,0.0005984
97,0.0005107
98,0.0005307
99,0.0005717
100,0.0008698
101,0.000636
102,0.000895
103,0.000559
104,0.0008655
105,0.0006886
106,0.000589
107,0.00094
108,0.0008454
109,0.0007834
110,0.000827
111,0.000989
112,0.0009103
113,0.0008287
114,0.000506
115,0.000629
116,0.000852
117,0.000642
118,0.00078
119,0.0009255
120,0.0006595
121,0.000761
122,0.0007296
123,0.0007596
124,0.000878
125,0.0009084
126,0.0009623
127,0.0007663
128,0.000886
129,0.000658
130,0.0006533
131,0.00098
132,0.000795
