,sem_loss
0,0.0002054
1,0.0006485
2,0.000502
3,0.0006456
4,0.0007434
5,0.0004396
6,0.0004852
7,0.000489
8,0.0005074
9,0.0004113
10,0.0004277
11,0.000481
12,0.0007277
13,0.0006065
14,0.0005307
15,0.000641
16,0.0004525
17,0.0005865
18,0.000999
19,0.000665
20,0.000896
21,0.000813
22,0.000405
23,0.0004508
24,0.0006666
25,0.0008574
26,0.0002418
27,0.0004869
28,0.001021
29,0.001046
30,0.001439
31,0.000982
32,0.001432
33,0.001465
34,0.001262
35,0.000881
36,0.001477
37,0.000808
38,0.0006776
39,0.001128
40,0.0009065
41,0.001274
42,0.000978
43,0.001374
44,0.001289
45,0.001587
46,0.0006332
47,0.00132
48,0.001263
49,0.001307
50,0.000959
51,0.001161
52,0.001335
53,0.001764
54,0.0012
55,0.001145
56,0.001904
57,0.001513
58,0.001179
59,0.001313
60,0.001212
61,0.001353
62,0.001272
63,0.001141
64,0.001352
65,0.001181
66,0.001088
67,0.001214
68,0.001385
69,0.0010805
70,0.001352
71,0.001281
72,0.001158
73,0.001804
74,0.0007963
75,0.0007443
76,0.001164
77,0.001197
78,0.000979
79,0.000827
80,0.001326
