,sem_loss
0,0.0006056
1,0.000525
2,0.000603
3,0.0003974
4,0.0006037
5,0.0003135
6,0.0005074
7,0.0003567
8,0.000848
9,0.0004437
10,0.0004358
11,0.0005646
12,0.0004258
13,0.000713
14,0.00055
15,0.0001985
16,0.0003617
17,0.000543
18,0.000471
19,0.0004044
20,0.0007434
21,0.0004506
22,0.0006604
23,0.00096
24,0.000447
25,0.0007987
26,0.0008416
27,0.0006166
28,0.00087
29,0.0005245
30,0.001185
31,0.000475
32,0.0003505
33,0.0005603
34,0.00052
35,0.0002718
36,0.000505
37,0.000829
38,0.00075
39,0.0011215
40,0.0003572
41,0.00093
42,0.000649
43,0.000381
44,0.0008645
45,0.001231
46,0.000532
47,0.0007715
48,0.00057
49,0.0006514
50,0.0003657
51,0.0004973
52,0.0004992
53,0.0008073
54,0.0007825
55,0.0008187
56,0.0003622
57,0.000445
58,0.0003657
59,0.000392
60,0.0005794
61,0.0004551
62,0.0004292
63,0.000524
64,0.000599
65,0.001236
66,0.0008073
67,0.0002992
68,0.0004864
69,0.0004487
70,0.000408
71,0.001184
72,0.000844
73,0.000791
74,0.0003324
75,0.0004048
76,0.0001593
77,0.0002832
78,0.000754
79,0.0005975
80,0.000244
81,0.0001929
82,0.000373
83,0.0004294
84,0.0006347
85,0.000834
86,0.0006785
87,0.0004916
88,0.0004096
89,0.0006723
90,0.0006437
91,0.0001382
92,0.000804
93,0.0004997
94,0.000779
95,0.000523
96,0.0004916
97,0.0005155
98,0.0007944
99,0.000466
100,0.0004108
101,0.000743
102,0.000844
103,0.0005393
104,0.0004594
105,0.0009737
106,0.0003116
107,0.0002728
108,0.0010805
109,0.0005074
110,0.0007396
111,0.0005665
112,0.0004551
113,0.0007253
114,0.0004468
115,0.000707
116,0.0003483
117,0.0006933
118,0.0006995
119,0.0003588
120,0.000135
121,0.000814
122,0.0009613
123,0.0007343
124,0.0008154
125,0.0004077
126,0.0004907
127,0.000821
128,0.0007634
129,0.0003405
130,0.0003633
131,0.0003266
132,0.000433
133,0.000255
134,0.0003357
135,0.000837
136,0.0003297
137,0.0004432
138,0.000467
139,0.001096
140,0.0001924
141,0.0004022
142,0.000884
143,0.0006104
144,0.000555
145,0.0005927
146,0.000522
147,0.0005865
148,0.000505
149,0.00035
150,0.0004554
151,0.0002606
152,0.000773
153,0.0007086
154,0.0009356
155,0.0004344
156,0.0001894
157,0.000596
158,0.000491
159,0.0003486
160,0.00039
161,0.000643
162,0.0004513
163,0.0003676
164,0.000798
165,0.0004377
166,0.0002782
167,0.001041
168,0.0008397
169,0.0005474
170,0.0006213
171,0.0008254
172,0.000501
173,0.0003145
174,0.0004358
175,0.0004733
176,0.0003974
177,0.0003364
178,0.0004833
179,0.0004065
180,0.000572
181,0.000263
182,0.000412
183,0.00010246
184,0.0003357
185,0.0003045
186,0.0004473
187,0.0003245
188,0.0004482
189,0.000816
190,0.000663
191,0.0005283
192,0.0004992
193,0.000439
194,0.0008364
195,0.0003881
196,0.0005155
197,0.000597
198,0.0008445
199,0.0003078
