Image Index,Semantic Loss
1,0.0005884
2,0.000439
3,0.0004232
4,0.000609
5,0.000467
6,0.0007577
7,0.000638
8,0.000577
9,0.000555
10,0.0004447
11,0.00039
12,0.000694
13,0.000461
14,0.0005817
15,0.0004177
16,0.0005684
17,0.00053
18,0.0003338
19,0.0006833
20,0.0006213
21,0.0007725
22,0.0006843
23,0.0005617
24,0.000535
25,0.000665
26,0.000582
27,0.0007534
28,0.00066
29,0.000532
30,0.000537
31,0.000567
32,0.0003183
33,0.0007396
34,0.0002718
35,0.0005565
36,0.000527
37,0.00087
38,0.000629
39,0.0007625
40,0.000514
41,0.0007687
42,0.000591
43,0.0007253
44,0.0003717
45,0.0005608
46,0.000603
47,0.000833
48,0.000606
49,0.0004745
50,0.0008044
51,0.000512
52,0.0007663
53,0.0005217
54,0.000688
55,0.000514
56,0.0007057
57,0.0003293
58,0.0007625
59,0.001247
60,0.0004551
61,0.0005603
62,0.0007663
63,0.0006227
64,0.000555
65,0.0005007
66,0.000548
67,0.0006495
68,0.0004785
69,0.0008945
70,0.0006127
71,0.000531
72,0.000832
73,0.000552
74,0.000557
75,0.0006766
76,0.0006614
77,0.0005684
78,0.0007124
79,0.0004017
80,0.000547
81,0.0004199
82,0.0006247
83,0.000583
84,0.000605
85,0.000999
86,0.0005407
87,0.000573
88,0.0005937
89,0.000603
90,0.0005007
91,0.000359
92,0.000512
93,0.0007033
94,0.0005665
95,0.0006747
96,0.000591
97,0.000764
98,0.000736
99,0.0007014
100,0.000802
101,0.0005026
102,0.0005136
103,0.0007877
104,0.0007057
105,0.0003612
106,0.0005827
107,0.000688
108,0.000682
109,0.0005994
110,0.000567
111,0.0006075
112,0.0004935
113,0.00098
114,0.0004427
115,0.000867
116,0.0003254
117,0.000652
118,0.000605
119,0.000485
120,0.000844
121,0.0005507
122,0.0007024
123,0.000853
124,0.0005507
125,0.000794
126,0.0007424
127,0.000647
128,0.0007315
129,0.0005407
130,0.000789
131,0.000816
132,0.0006323
133,0.000776
134,0.0003884
135,0.0008445
136,0.000459
137,0.000661
138,0.000857
139,0.0004125
140,0.000741
141,0.0005
142,0.000594
143,0.0007277
144,0.000426
145,0.000977
146,0.0005517
147,0.0007405
148,0.0004256
149,0.0004332
150,0.000706
151,0.0004847
152,0.0003877
153,0.000623
154,0.000983
155,0.0005317
156,0.000939
157,0.0006247
158,0.000428
159,0.000578
160,0.0003877
161,0.0009007
162,0.000776
163,0.000526
164,0.000572
165,0.000727
166,0.000522
167,0.000822
168,0.0005817
169,0.0008273
170,0.0004451
171,0.0003383
172,0.0007133
173,0.0006323
174,0.0005207
175,0.0006943
176,0.0004044
177,0.00064
178,0.0005746
179,0.0003994
180,0.0004296
181,0.0006127
182,0.000679
183,0.000544
184,0.0004377
185,0.000569
186,0.0005784
187,0.0004086
188,0.0005774
189,0.000863
190,0.000547
191,0.000659
192,0.000657
193,0.0004418
194,0.0004342
195,0.000512
196,0.0006657
197,0.000903
198,0.000498
199,0.000585
200,0.000874
