Image Index,Semantic Loss
1,0.000599
2,0.000419
3,0.0004134
4,0.0006423
5,0.0004506
6,0.0008
7,0.0005965
8,0.0006022
9,0.000675
10,0.0005345
11,0.0005713
12,0.000702
13,0.000397
14,0.0005884
15,0.000381
16,0.000601
17,0.0004873
18,0.0006213
19,0.000602
20,0.000666
21,0.000753
22,0.000626
23,0.0006847
24,0.0006895
25,0.000703
26,0.000524
27,0.00081
28,0.000644
29,0.000579
30,0.0005183
31,0.000723
32,0.0003517
33,0.000775
34,0.000348
35,0.0004654
36,0.0005465
37,0.000785
38,0.000657
39,0.0007443
40,0.0005693
41,0.000713
42,0.0004127
43,0.000674
44,0.0003626
45,0.0005646
46,0.0004537
47,0.0008006
48,0.0005784
49,0.0004466
50,0.000775
51,0.000615
52,0.0008445
53,0.0005345
54,0.000685
55,0.000517
56,0.0005965
57,0.0003817
58,0.0007167
59,0.001275
60,0.000501
61,0.0005975
62,0.0008607
63,0.000577
64,0.000623
65,0.0005474
66,0.000525
67,0.000661
68,0.0005903
69,0.0009446
70,0.000605
71,0.000659
72,0.0006676
73,0.000654
74,0.0006404
75,0.000629
76,0.0004044
77,0.0005054
78,0.0006547
79,0.0004003
80,0.0005584
81,0.0004704
82,0.0006957
83,0.0007496
84,0.000544
85,0.000792
86,0.0006623
87,0.000393
88,0.0007124
89,0.0005693
90,0.000498
91,0.0004158
92,0.0005364
93,0.0007553
94,0.000494
95,0.000705
96,0.000464
97,0.0007534
98,0.0007477
99,0.000664
100,0.0006666
101,0.0005546
102,0.000687
103,0.0007944
104,0.000756
105,0.0004282
106,0.00053
107,0.0006704
108,0.0004454
109,0.000616
110,0.000663
111,0.000464
112,0.000392
113,0.000922
114,0.0005565
115,0.0007777
116,0.0003128
117,0.001065
118,0.0006413
119,0.0005293
120,0.000904
121,0.0005746
122,0.000701
123,0.0007067
124,0.000693
125,0.0007854
126,0.0006304
127,0.0006385
128,0.0006447
129,0.000344
130,0.0007033
131,0.000917
132,0.0007043
133,0.000758
134,0.000381
135,0.0006948
136,0.000617
137,0.000528
138,0.00071
139,0.000347
140,0.0007577
141,0.0005617
142,0.000582
143,0.0005727
144,0.0004845
145,0.000927
146,0.000677
147,0.0008354
148,0.0004096
149,0.0004148
150,0.000753
151,0.0004792
152,0.0004568
153,0.0006266
154,0.0009637
155,0.0004733
156,0.0009427
157,0.000682
158,0.0004191
159,0.000518
160,0.0003793
161,0.0006204
162,0.0005517
163,0.0006332
164,0.0005217
165,0.0006175
166,0.0005465
167,0.0009727
168,0.0005517
169,0.000574
170,0.0004346
171,0.0003061
172,0.00068
173,0.0005016
174,0.0004907
175,0.0006666
176,0.0004728
177,0.0007796
178,0.0005465
179,0.0003476
180,0.0004582
181,0.00057
182,0.0007644
183,0.000652
184,0.000424
185,0.0006194
186,0.000601
187,0.000647
188,0.000733
189,0.000912
190,0.0005836
191,0.000707
192,0.000827
193,0.0002416
194,0.0005126
195,0.0003974
196,0.000806
197,0.0007443
198,0.0006104
199,0.0005355
200,0.0008636
